AvgSpotLen_l	BioSample_s	Experiment_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Name_s	genotype_s	Assay_Type_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Organism_s	Platform_s	SRA_Study_s	ecotype_s	source_name_s
50	SAMN01103710	SRX174203	GSM980986: WT replicate 2 BS-seq	2012-08-07	7576	7557	2013-01-11	SRR534177	SRS353433	GSM980986	Wild type	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103711	SRX174204	GSM980987: WT replicate 3 BS-seq	2012-08-07	5367	6218	2013-01-11	SRR534193	SRS353434	GSM980987	Wild type	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103712	SRX174205	GSM980988: ago1  BS-seq	2012-08-07	13433	14995	2013-01-11	SRR534194	SRS353435	GSM980988	ago1	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103713	SRX174206	GSM980989: ago2  BS-seq	2012-08-07	13036	14585	2013-01-11	SRR534195	SRS353436	GSM980989	ago2	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103714	SRX174207	GSM980990: ago3  BS-seq	2015-02-09	14182	15064	2015-02-09	SRR1793912	SRS353437	GSM980990	ago3	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103715	SRX174208	GSM980991: ago4  BS-seq	2012-08-07	13154	14613	2013-01-11	SRR534197	SRS353438	GSM980991	ago4	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103716	SRX174209	GSM980992: ago5 BS-seq	2012-08-07	13585	15229	2013-01-11	SRR534198	SRS353439	GSM980992	ago5	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103717	SRX174210	GSM980993: ago6  BS-seq	2012-08-07	12611	13839	2013-01-11	SRR534199	SRS353440	GSM980993	ago6	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103718	SRX174211	GSM980994: ago7  BS-seq	2012-08-07	13766	15086	2013-01-11	SRR534200	SRS353441	GSM980994	ago7	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103719	SRX174212	GSM980995: ago8  BS-seq	2012-08-07	12473	13522	2013-01-11	SRR534201	SRS353442	GSM980995	ago8	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
